city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Chalon-sur-Saône,46.7806,4.8528,France,FR,Bourgogne-Franche-Comté,minor,45096,45096
Châlons-en-Champagne,48.9575,4.3650,France,FR,Grand Est,minor,44753,44753
Saint-Germain-en-Laye,48.8989,2.0938,France,FR,Île-de-France,minor,44753,44753
Puteaux,48.8850,2.2389,France,FR,Île-de-France,,44645,44645
Livry-Gargan,48.9192,2.5361,France,FR,Île-de-France,,44437,44437
Saint-Brieuc,48.5136,-2.7653,France,FR,Bretagne,minor,44372,44372
Mantes-la-Jolie,48.9908,1.7172,France,FR,Île-de-France,minor,44299,44299
Noisy-le-Sec,48.8894,2.4503,France,FR,Île-de-France,,44136,44136
Les Sables-d’Olonne,46.4972,-1.7833,France,FR,Pays de la Loire,minor,44017,44017
Alfortville,48.8050,2.4239,France,FR,Île-de-France,,43881,43881
Châteauroux,46.8103,1.6911,France,FR,Centre-Val de Loire,minor,43741,43741
Valenciennes,50.3580,3.5233,France,FR,Hauts-de-France,minor,43336,43336
Sète,43.4053,3.6975,France,FR,Occitanie,,43229,43229
Caluire-et-Cuire,45.7953,4.8472,France,FR,Auvergne-Rhône-Alpes,,43187,43187
Istres,43.5151,4.9895,France,FR,Provence-Alpes-Côte d’Azur,minor,43133,43133
La Courneuve,48.9322,2.3967,France,FR,Île-de-France,,43054,43054
Garges-lès-Gonesse,48.9728,2.4008,France,FR,Île-de-France,,42728,42728
Talence,44.8000,-0.5840,France,FR,Nouvelle-Aquitaine,,42606,42606
Angoulême,45.6500,0.1600,France,FR,Nouvelle-Aquitaine,minor,41740,41740
Castres,43.6000,2.2500,France,FR,Occitanie,minor,41636,41636
Bron,45.7394,4.9139,France,FR,Auvergne-Rhône-Alpes,,41543,41543
Bourg-en-Bresse,46.2056,5.2289,France,FR,Auvergne-Rhône-Alpes,minor,41527,41527
Tarbes,43.2300,0.0700,France,FR,Occitanie,minor,41518,41518
Le Cannet,43.5769,7.0194,France,FR,Provence-Alpes-Côte d’Azur,,41471,41471
Rezé,47.1833,-1.5500,France,FR,Pays de la Loire,,41411,41411
Arras,50.2920,2.7800,France,FR,Hauts-de-France,minor,41019,41019
Wattrelos,50.7000,3.2170,France,FR,Hauts-de-France,,40958,40958
Bagneux,48.7983,2.3137,France,FR,Île-de-France,,40918,40918
Gap,44.5594,6.0786,France,FR,Provence-Alpes-Côte d’Azur,minor,40895,40895
Thionville,49.3589,6.1692,France,FR,Grand Est,minor,40701,40701
Alès,44.1281,4.0817,France,FR,Occitanie,minor,40219,40219
Compiègne,49.4149,2.8231,France,FR,Hauts-de-France,minor,40199,40199
Melun,48.5406,2.6600,France,FR,Île-de-France,minor,40032,40032
Douai,50.3714,3.0800,France,FR,Hauts-de-France,minor,39700,39700
Gagny,48.8833,2.5333,France,FR,Île-de-France,,39358,39358
Draguignan,43.5403,6.4667,France,FR,Provence-Alpes-Côte d’Azur,minor,39340,39340
Colomiers,43.6139,1.3367,France,FR,Occitanie,,38951,38951
Anglet,43.4850,-1.5183,France,FR,Nouvelle-Aquitaine,,38929,38929
Stains,48.9500,2.3833,France,FR,Île-de-France,,38720,38720
Marcq-en-Baroeul,50.6711,3.0972,France,FR,Hauts-de-France,,38617,38617
Chartres,48.4560,1.4840,France,FR,Centre-Val de Loire,minor,38578,38578
Saint-Martin-d’Hères,45.1672,5.7653,France,FR,Auvergne-Rhône-Alpes,,38487,38487
Joué-lés-Tours,47.3514,0.6625,France,FR,Centre-Val de Loire,,37893,37893
Poissy,48.9294,2.0456,France,FR,Île-de-France,,37388,37388
Châtillon,48.8000,2.2900,France,FR,Île-de-France,,37355,37355
Villefranche-sur-Saône,45.9833,4.7167,France,FR,Auvergne-Rhône-Alpes,minor,36857,36857
Échirolles,45.1436,5.7183,France,FR,Auvergne-Rhône-Alpes,,36840,36840
Villepinte,48.9550,2.5410,France,FR,Île-de-France,,36830,36830
Franconville,48.9889,2.2314,France,FR,Île-de-France,,36762,36762
Savigny-sur-Orge,48.6797,2.3457,France,FR,Île-de-France,,36533,36533
Sainte-Geneviève-des-Bois,48.6369,2.3403,France,FR,Île-de-France,,36207,36207
Conflans-Sainte-Honorine,48.9992,2.0983,France,FR,Île-de-France,,35846,35846
Annemasse,46.1958,6.2364,France,FR,Auvergne-Rhône-Alpes,,35712,35712
Bagnolet,48.8692,2.4181,France,FR,Île-de-France,,35674,35674
Creil,49.2583,2.4833,France,FR,Hauts-de-France,,35657,35657
Montluçon,46.3408,2.6033,France,FR,Auvergne-Rhône-Alpes,minor,35653,35653
Palaiseau,48.7145,2.2457,France,FR,Île-de-France,minor,35514,35514
La Ciotat,43.1769,5.6086,France,FR,Provence-Alpes-Côte d’Azur,,35174,35174
Saint-Raphaël,43.4252,6.7684,France,FR,Provence-Alpes-Côte d’Azur,,35042,35042
Neuilly-sur-Marne,48.8537,2.5490,France,FR,Île-de-France,,34993,34993
Saint-Chamond,45.4775,4.5153,France,FR,Auvergne-Rhône-Alpes,,34967,34967
Thonon-les-Bains,46.3627,6.4750,France,FR,Auvergne-Rhône-Alpes,minor,34756,34756
Auxerre,47.7986,3.5672,France,FR,Bourgogne-Franche-Comté,minor,34634,34634
Haguenau,48.8200,7.7900,France,FR,Grand Est,minor,34504,34504
Roanne,46.0367,4.0689,France,FR,Auvergne-Rhône-Alpes,minor,34366,34366
Athis-Mons,48.7074,2.3889,France,FR,Île-de-France,,34347,34347
Villenave-d’Ornon,44.7806,-0.5658,France,FR,Nouvelle-Aquitaine,,34090,34090
Le Perreux-Sur-Marne,48.8422,2.5036,France,FR,Île-de-France,,33879,33879
Mâcon,46.3063,4.8313,France,FR,Bourgogne-Franche-Comté,minor,33638,33638
Agen,44.2049,0.6212,France,FR,Nouvelle-Aquitaine,minor,33576,33576
Villeneuve-Saint-Georges,48.7325,2.4497,France,FR,Île-de-France,,33545,33545
Meyzieu,45.7667,5.0036,France,FR,Auvergne-Rhône-Alpes,,33477,33477
Vitrolles,43.4600,5.2486,France,FR,Provence-Alpes-Côte d’Azur,,33310,33310
Châtenay-Malabry,48.7653,2.2781,France,FR,Île-de-France,,33286,33286
Romans-sur-Isère,45.0464,5.0517,France,FR,Auvergne-Rhône-Alpes,,33160,33160
Nevers,46.9933,3.1572,France,FR,Bourgogne-Franche-Comté,minor,32990,32990
Montigny-le-Bretonneux,48.7711,2.0333,France,FR,Île-de-France,,32929,32929
Marignane,43.4160,5.2145,France,FR,Provence-Alpes-Côte d’Azur,,32920,32920
Nogent-sur-Marne,48.8375,2.4833,France,FR,Île-de-France,minor,32851,32851
Six-Fours-les-Plages,43.1009,5.8200,France,FR,Provence-Alpes-Côte d’Azur,,32829,32829
Les Mureaux,48.9875,1.9172,France,FR,Île-de-France,,32792,32792
Trappes,48.7775,2.0025,France,FR,Île-de-France,,32584,32584
Cambrai,50.1767,3.2356,France,FR,Hauts-de-France,minor,32558,32558
Houilles,48.9261,2.1892,France,FR,Île-de-France,,32151,32151
Schiltigheim,48.6078,7.7500,France,FR,Grand Est,,31894,31894
Châtellerault,46.8178,0.5461,France,FR,Nouvelle-Aquitaine,minor,31840,31840
Vigneux-sur-Seine,48.7001,2.4170,France,FR,Île-de-France,,31574,31574
Plaisir,48.8183,1.9472,France,FR,Île-de-France,,31419,31419
Lens,50.4322,2.8333,France,FR,Hauts-de-France,minor,31415,31415
L’Haÿ-les-Roses,48.7800,2.3374,France,FR,Île-de-France,minor,31204,31204
Saint-Médard-en-Jalles,44.8964,-0.7164,France,FR,Nouvelle-Aquitaine,,31145,31145
Viry-Châtillon,48.6713,2.3750,France,FR,Île-de-France,,31093,31093
Cachan,48.7919,2.3319,France,FR,Île-de-France,,31069,31069
Dreux,48.7372,1.3664,France,FR,Centre-Val de Loire,minor,31044,31044
Liévin,50.4228,2.7786,France,FR,Hauts-de-France,,30785,30785
Pontoise,49.0516,2.1017,France,FR,Île-de-France,,30767,30767
Goussainville,49.0325,2.4747,France,FR,Île-de-France,,30637,30637
Charenton-le-Pont,48.8265,2.4050,France,FR,Île-de-France,,30374,30374
Pierrefitte-sur-Seine,48.9656,2.3614,France,FR,Île-de-France,,30306,30306
Malakoff,48.8169,2.2944,France,FR,Île-de-France,,30286,30286
Chatou,48.8897,2.1573,France,FR,Île-de-France,,30253,30253
Rillieux-la-Pape,45.8214,4.8983,France,FR,Auvergne-Rhône-Alpes,,30012,30012
Vandœuvre-lès-Nancy,48.6567,6.1683,France,FR,Grand Est,,30002,30002
Savigny-le-Temple,48.5841,2.5832,France,FR,Île-de-France,,29984,29984
Saint-Cloud,48.8400,2.2200,France,FR,Île-de-France,,29973,29973
Périgueux,45.1929,0.7217,France,FR,Nouvelle-Aquitaine,minor,29966,29966
Villemomble,48.8833,2.5000,France,FR,Île-de-France,,29964,29964
Maubeuge,50.2775,3.9734,France,FR,Hauts-de-France,,29944,29944
Aix-les-Bains,45.6885,5.9153,France,FR,Auvergne-Rhône-Alpes,,29794,29794
Mont-de-Marsan,43.8900,-0.5000,France,FR,Nouvelle-Aquitaine,minor,29554,29554
Bezons,48.9261,2.2178,France,FR,Île-de-France,,29383,29383
Clichy-sous-Bois,48.9102,2.5532,France,FR,Île-de-France,,29348,29348
Vienne,45.5242,4.8781,France,FR,Auvergne-Rhône-Alpes,minor,29306,29306
Ris-Orangis,48.6537,2.4161,France,FR,Île-de-France,,29225,29225
La Garenne-Colombes,48.9056,2.2445,France,FR,Île-de-France,,29169,29169
Ermont,48.9922,2.2603,France,FR,Île-de-France,,29108,29108
Le Plessis-Robinson,48.7811,2.2633,France,FR,Île-de-France,,29100,29100
Dieppe,49.9200,1.0800,France,FR,Normandie,minor,29080,29080
Yerres,48.7171,2.4881,France,FR,Île-de-France,,29029,29029
Thiais,48.7650,2.3923,France,FR,Île-de-France,,29017,29017
Sotteville-lès-Rouen,49.4092,1.0900,France,FR,Normandie,,28965,28965
Menton,43.7750,7.5000,France,FR,Provence-Alpes-Côte d’Azur,,28958,28958
Orange,44.1383,4.8097,France,FR,Provence-Alpes-Côte d’Azur,,28919,28919
Draveil,48.6852,2.4080,France,FR,Île-de-France,,28833,28833
Grigny,48.6562,2.3849,France,FR,Île-de-France,,28737,28737
Saint-Étienne-du-Rouvray,49.3786,1.1050,France,FR,Normandie,,28641,28641
Guyancourt,48.7714,2.0739,France,FR,Île-de-France,,28633,28633
Agde,43.3108,3.4758,France,FR,Occitanie,,28609,28609
Décines-Charpieu,45.7694,4.9594,France,FR,Auvergne-Rhône-Alpes,,28602,28602
Bègles,44.8086,-0.5478,France,FR,Nouvelle-Aquitaine,,28601,28601
