city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Blaye,45.1276,-0.6623,France,FR,Nouvelle-Aquitaine,minor,,
Mayenne,48.3032,-0.6137,France,FR,Pays de la Loire,minor,,
Langon,44.5528,-0.2499,France,FR,Nouvelle-Aquitaine,minor,,
Altkirch,47.6242,7.2395,France,FR,Grand Est,minor,,
Senlis,49.2072,2.5866,France,FR,Hauts-de-France,minor,,
Bar-le-Duc,48.7727,5.1611,France,FR,Grand Est,minor,,
Tulle,45.2658,1.7723,France,FR,Nouvelle-Aquitaine,minor,,
Prades,42.6175,2.4218,France,FR,Occitanie,minor,,
Thann,47.8079,7.1030,France,FR,Grand Est,minor,,
Redon,47.6517,-2.0842,France,FR,Bretagne,minor,,
Château-Chinon (Ville),47.0645,3.9322,France,FR,Bourgogne-Franche-Comté,minor,,
Morlaix,48.5778,-3.8279,France,FR,Bretagne,minor,,
Verdun,49.1596,5.3829,France,FR,Grand Est,minor,,
Pontivy,48.0683,-2.9664,France,FR,Bretagne,minor,,
Guéret,46.1718,1.8717,France,FR,Nouvelle-Aquitaine,minor,,
Riom,45.8936,3.1126,France,FR,Auvergne-Rhône-Alpes,minor,,
Saint-Amand-Montrond,46.7228,2.5049,France,FR,Centre-Val de Loire,minor,,
Foix,42.9653,1.6071,France,FR,Occitanie,minor,,
Vire,48.8385,-0.8893,France,FR,Normandie,minor,,
Toul,48.6808,5.8912,France,FR,Grand Est,minor,,
Brioude,45.2942,3.3842,France,FR,Auvergne-Rhône-Alpes,minor,,
Privas,44.7350,4.5992,France,FR,Auvergne-Rhône-Alpes,minor,,
Montdidier,49.6480,2.5699,France,FR,Hauts-de-France,minor,,
Bonneville,46.0778,6.4089,France,FR,Auvergne-Rhône-Alpes,minor,,
Saverne,48.7407,7.3650,France,FR,Grand Est,minor,,
Châteaudun,48.0709,1.3378,France,FR,Centre-Val de Loire,minor,,
Saint-Dié-des-Vosges,48.2843,6.9492,France,FR,Grand Est,minor,,
Péronne,49.9322,2.9363,France,FR,Hauts-de-France,minor,,
Pontarlier,46.9061,6.3548,France,FR,Bourgogne-Franche-Comté,minor,,
Nogent-le-Rotrou,48.3216,0.8218,France,FR,Centre-Val de Loire,minor,,
Marmande,44.5036,0.1655,France,FR,Nouvelle-Aquitaine,minor,,
Sélestat,48.2619,7.4489,France,FR,Grand Est,minor,,
Mortagne-au-Perche,48.5202,0.5473,France,FR,Normandie,minor,,
Briançon,44.8966,6.6346,France,FR,Provence-Alpes-Côte d’Azur,minor,,
Lannion,48.7326,-3.4566,France,FR,Bretagne,minor,,
Fontenay-le-Comte,46.4667,-0.8062,France,FR,Pays de la Loire,minor,,
Château-Gontier,47.8287,-0.7027,France,FR,Pays de la Loire,minor,,
Segré,47.6867,-0.8727,France,FR,Pays de la Loire,minor,,
Saint-Gaudens,43.1081,0.7232,France,FR,Occitanie,minor,,
Belley,45.7592,5.6881,France,FR,Auvergne-Rhône-Alpes,minor,,
Bernay,49.0887,0.5982,France,FR,Normandie,minor,,
Saint-Jean-d’Angély,45.9441,-0.5213,France,FR,Nouvelle-Aquitaine,minor,,
Rethel,49.5098,4.3674,France,FR,Grand Est,minor,,
Saint-Girons,42.9849,1.1459,France,FR,Occitanie,minor,,
Romorantin,47.3587,1.7473,France,FR,Centre-Val de Loire,minor,,
Châteaubriant,47.7168,-1.3764,France,FR,Pays de la Loire,minor,,
Gex,46.3332,6.0577,France,FR,Auvergne-Rhône-Alpes,minor,,
Pamiers,43.1165,1.6108,France,FR,Occitanie,minor,,
Issoudun,46.9485,1.9936,France,FR,Centre-Val de Loire,minor,,
Lure,47.6829,6.4966,France,FR,Bourgogne-Franche-Comté,minor,,
Mende,44.5216,3.4998,France,FR,Occitanie,minor,,
Lodève,43.7318,3.3196,France,FR,Occitanie,minor,,
Limoux,43.0570,2.2183,France,FR,Occitanie,minor,,
Nyons,44.3608,5.1405,France,FR,Auvergne-Rhône-Alpes,minor,,
Nogent-sur-Seine,48.4937,3.5026,France,FR,Grand Est,minor,,
